"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Ladakh","LA",2020-04-28,"22","6","16","0","2","0","0"
"Andaman and Nicobar Islands","AN",2020-04-28,"33","18","15","0","0","0","4"
"Chandigarh","CH",2020-04-28,"56","39","17","0","11","0","0"
"Assam","AS",2020-04-28,"38","10","27","1","2","0","0"
"Chhattisgarh","CT",2020-04-28,"37","3","34","0","0","0","2"
"Himachal Pradesh","HP",2020-04-28,"40","13","25","2","0","0","0"
"Uttarakhand","UT",2020-04-28,"52","18","34","0","1","0","1"
"Jharkhand","JH",2020-04-28,"104","84","17","3","1","0","0"
"Odisha","OR",2020-04-28,"118","79","38","1","0","0","1"
"Bihar","BR",2020-04-28,"365","299","64","2","19","0","8"
"Haryana","HR",2020-04-28,"308","81","224","3","7","0","11"
"Kerala","KL",2020-04-28,"486","123","359","4","4","0","4"
"Karnataka","KA",2020-04-28,"523","296","207","20","11","0","14"
"Jammu and Kashmir","JK",2020-04-28,"565","381","176","8","19","1","12"
"West Bengal","WB",2020-04-28,"697","568","109","20","48","0","4"
"Andhra Pradesh","AP",2020-04-28,"1259","970","258","31","82","0","23"
"Tamil Nadu","TN",2020-04-28,"2058","905","1128","25","121","1","27"
"Rajasthan","RJ",2020-04-28,"2335","1540","744","51","73","1","0"
"Maharashtra","MH",2020-04-28,"8590","6939","1282","369","0","0","0"
"Total","TT",2020-04-28,"29859","21669","7248","942","401","3","111"
"Puducherry","PY",2020-04-27,"8","3","5","0","0","0","0"
"Punjab","PB",2020-04-27,"330","213","98","19","0","0","0"
"Telangana","TG",2020-04-27,"1003","646","332","25","0","0","0"
"Uttar Pradesh","UP",2020-04-27,"1986","1556","399","31","0","0","0"
"Madhya Pradesh","MP",2020-04-27,"2165","1698","357","110","0","0","0"
"Delhi","DL",2020-04-27,"3108","2177","877","54","0","0","0"
"Gujarat","GJ",2020-04-27,"3548","2992","394","162","0","0","0"
"Tripura","TR",2020-04-23,"2","0","2","0","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Meghalaya","ML",2020-04-18,"12","11","0","1","0","0","0"
"Dadra and Nagar Haveli","DN",2020-04-17,"0","0","0","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
"Mizoram","MZ",2020-03-26,"1","1","0","0","0","0","0"
